incident_id,customer_id,incident_created_by,order_external_id,order_item_id_list,final_issue_type,final_sub_issue_type,final_sub_sub_issue_type,ssi,status_name,incident_creation_time,incident_first_solved_time,incident_last_solved_time,assigned_to_queue_at,ipd_fpd,first_spd,first_status,last_spd,last_status,last_jeeves_bsd_flag,dep_team,incident_channel,current_queue_name,jn_flag,order_journey_node,ocr_classification,analytic_vertical_flag,vip_flag,large_grocery_nl_flag,inc_order_flag,contacts,Contact Flag,Current Date,Final Date,Days Delta,Days Flag,Final Flag,Problem Statement,Problem Group,Owner,Consider,Senti,Current_status,Last_Solved_By,Last_Solved_On,Status_Group,ExactStatus,Ageing_OR_Q2R
IN24050914470061720182,ACC2CB06516F2AB4554A948523F44ACA03DN,starkol.c202257840,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-09 14:47:00,2024-05-09 14:47:17,2024-05-09 14:47:17,2024-05-17 13:02:10,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-17 13:02:10,8,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2257129,2024-05-25 13:24:46,Open,ReOpenByL2,262.8597506725
IN24052513080918996600,ACC7A45B8FF9431466887E47A5FD4F2970A5,tp.4736462,OD431298936899035300,4.312989368990353e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-25 13:08:09,,,2024-05-25 13:08:11,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 13:08:11,0,0,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 23:30:06,Solved,Solved,58.365833333333335
IN24040709235584363586,ACC71FE931D6EB64CCD8DB9BCCAF8F8DB7A4,tp.5227779,,,Flipkart Pay Later,Flipkart Pay Later BBPS ,Issues related to Utility Bills,Flipkart Pay Later->Flipkart Pay Later BBPS ->Issues related to Utility Bills,Waiting for Internal Updates,2024-04-07 09:23:55,,,2024-04-07 09:26:36,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-04-07 09:26:36,49,>5,5X5,Re-Con issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.1031981,2024-05-27 17:25:53,Open,ReOpenByL2,1226.4972506724998
IN24052117485119954730,ACC5EE151DEDD1D41AE838CB0B3C9581C4EW,techmch.2280778,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-21 17:48:51,,,2024-05-21 17:48:55,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-21 17:48:55,4,4,3X4,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.990384,2024-05-28 11:12:45,Open,ReOpenByL2,162.08169511694445
IN24052317452503362956,ACC141205276028420,techmchflex24.2288081,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-23 17:45:25,,,2024-05-23 17:45:34,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 17:45:34,2,2,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.987502,2024-05-26 19:21:30,Open,ReOpenByL2,114.13891733916667
IN24032412014804101672,ACC86C42C7F5C0249558448BF264B8C24EF7,tpm.670285,,,Flipkart Pay Later,Billing Related,Flipkart Pay Later - Unable to pay the bill,Flipkart Pay Later->Billing Related->Flipkart Pay Later - Unable to pay the bill,Waiting for Internal Updates,2024-03-24 12:01:48,,,2024-03-24 12:02:57,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,,0,2024-05-26 10:00:00,2024-03-24 12:02:57,62,>5,5X5,Payback_Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2198139,2024-05-27 12:52:32,Open,ReOpenByL2,1559.865861783611
IN24051811543834582229,ACCC125B116B3A04DEAAA3CEABF50B3EE1ED,tp.4362900,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-18 11:54:38,,,2024-05-18 11:55:55,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-18 11:55:55,7,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.960691,2024-05-27 18:33:54,Open,ReOpenByL2,239.98530622805555
IN24051822465064949510,ACC13819392034548725,starkol.2024149355,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-18 22:46:50,2024-05-18 22:46:55,2024-05-18 22:46:55,2024-05-25 12:31:53,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 12:31:53,0,0,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-26 21:16:20,Solved,Solved,32.740833333333335
IN24052009013123298969,ACCB960F657C2324D928C5417F971148C39M,techmch.2301058,OD431302919557767300,4.313029195577673e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-20 09:01:31,2024-05-20 09:02:38,2024-05-20 09:02:38,2024-05-20 09:01:32,,,,,,,cx,Inbound,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-20 09:01:32,6,>5,5X5,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 18:00:29,Solved,Solved,176.98277777777778
IN24052120065711456596,ACC4C7EAD96C5FC4A8AAD30525F5B7CE862Y,techmchflex23.2244913,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-21 20:06:57,,,2024-05-21 20:07:25,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-21 20:07:25,4,4,3X4,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Solved,fapl.1031982,2024-05-28 11:29:23,Solved,Solved,159.3738888888889
IN24052217452661650385,ACCCEF1096AD5FD4E12A7944220069064C6V,tpm.533248,OD431323413839608300,4.313234138396083e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-22 17:45:26,,,2024-05-22 17:45:28,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-22 17:45:28,3,3,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 21:00:06,Solved,Solved,123.24444444444444
IN24041523502354588637,ACC5344F869DEE940F5B89F581A5507A1D0W,starkol.80532062,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Balance got deducted order isn't confirmed,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Balance got deducted order isn't confirmed,Updated,2024-04-15 23:50:23,2024-04-16 20:50:41,2024-05-18 20:38:26,2024-04-15 23:50:33,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-04-15 23:50:33,40,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2165845,2024-05-26 10:22:30,Open,ReOpenByL2,1020.0561395613889
IN24051513432390826271,ACC45B9A6230A97425CA778AB708E4BFC95Y,techmchflex22.2112229,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-15 13:43:23,2024-05-16 22:20:17,2024-05-16 22:20:17,2024-05-15 13:43:31,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,4.0,4,2024-05-26 10:00:00,2024-05-15 13:43:31,10,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.918694,2024-05-28 09:54:25,Open,ReOpenByL2,310.17280622805555
IN24051913281058421791,ACC99F5AF9B3452467CAF4CF05AD9E06EA15,techmchflex22.2077572,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-19 13:28:10,,,2024-05-19 13:28:23,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-19 13:28:23,6,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.855676,2024-05-25 15:23:32,Open,ReOpenByL2,214.42641733916668
IN24052116434982376913,ACC0C63380FADD84079B0D94C8AAE61C6B8U,techmchflex22.2128024,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-21 16:43:49,2024-05-21 16:44:01,2024-05-21 16:44:01,2024-05-23 13:58:16,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-23 13:58:16,2,2,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.855675,2024-05-27 13:48:35,Open,ReOpenByL2,117.92475067250001
IN24052117573504233309,ACC80B7096CF55244DF8CE77B595E8DE0C0N,tpm.716123,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Updated,2024-05-21 17:57:35,2024-05-21 19:06:24,2024-05-21 21:13:32,2024-05-25 09:11:52,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-25 09:11:52,1,1,Others,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2253475,2024-05-26 09:34:21,Open,ReOpenByL2,74.69808400583334
IN24052421330425531253,ACC533C8A2C56514FD3B64055169A4A9CEAG,starkol.2024149355,OD431341419232076300,4.313414192320763e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 21:33:04,,,2024-05-24 21:33:05,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-24 21:33:05,1,1,Others,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 21:00:46,Solved,Solved,71.46166666666667
IN24052516553073373904,ACC4CBCE722365F49F38185FB8DB9139A94Z,tpm.709948,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-25 16:55:30,,,2024-05-25 16:55:36,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,,0,2024-05-26 10:00:00,2024-05-25 16:55:36,0,0,Others,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-25 18:01:12,Open,ReOpen,66.97086178361111
IN24052116274657286807,ACC9F138196D00A4A5DAEB1F5694721B467E,ttaskmys.1200195,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-21 16:27:46,,,2024-05-21 16:28:06,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-21 16:28:06,4,4,3X4,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.918696,2024-05-27 17:23:49,Open,ReOpenByL2,163.43308400583334
IN24052017441111540283,ACCB9B3DF521D784550AFF9C6D93EE886DEL,techmcflex21.1938926,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-20 17:44:11,,,2024-05-20 17:44:27,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-20 17:44:27,5,5,3X4,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2257117,2024-05-27 12:43:35,Open,ReOpenByL2,186.15947289472223
IN24052310041648615052,ACCBFBBDBE20D524F6DB01352E9A78899B05,ieddn.t215603,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-23 10:04:16,2024-05-23 10:04:21,2024-05-23 10:04:21,2024-05-23 10:06:08,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,,0,2024-05-26 10:00:00,2024-05-23 10:06:08,2,2,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,self_serve,2024-05-28 01:41:12,Open,ReOpen,121.7936395613889
IN24052516161653922793,ACC1384676282529767,ieddn.t245981,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Customer Updates,2024-05-25 16:16:16,,,2024-05-25 16:16:20,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 16:16:20,0,0,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.2254950,2024-05-26 14:30:20,Solved,Solved,22.234444444444446
IN24051715055995818062,ACC05740EAE19544AB5BDF840872C3DFCDC8,techmk.2244271,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-17 15:05:59,2024-05-17 15:06:25,2024-05-17 15:06:25,2024-05-17 15:29:21,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,4.0,4,2024-05-26 10:00:00,2024-05-17 15:29:21,8,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-27 12:54:37,Open,ReOpen,260.40669511694443
IN24052009441064722594,ACC665DE0584D7D4E6AA657F836A73222027,tpm.661321,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-20 09:44:10,,,2024-05-20 09:44:14,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-20 09:44:14,6,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2254950,2024-05-26 12:38:23,Open,ReOpenByL2,194.1597506725
IN24052321173710325893,ACC3183E520D4F34E2FBE46D4A77644FB26B,tpm.702235,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-23 21:17:37,,,2024-05-23 21:21:03,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 21:21:03,2,2,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.958402,2024-05-28 09:40:37,Open,ReOpenByL2,110.6022506725
IN24052415365027782378,ACC57E8D1900CD844619E6F33A15E151A53U,tpm.715595,OD331211482439348300,3.312114824393483e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 15:36:50,,,2024-05-24 15:36:52,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-24 15:36:52,1,1,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,rcbp-service,2024-05-27 15:01:38,Solved,Solved,71.41333333333333
IN24052215202108296161,ACCFB26ABF76D50460D962F74DB9BD9BD944,techmn.2234788,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-22 15:20:21,,,2024-05-22 15:21:57,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-22 15:21:57,3,3,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2246152,2024-05-25 16:57:52,Open,ReOpenByL2,140.55669511694444
IN24052513095462732265,ACCA1F945B4F5BD4F3799A75CC58DFFBDDAZ,techmk.2244311,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Unable to place order using Flipkart Pay Later,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Unable to place order using Flipkart Pay Later,Unresolved,2024-05-25 13:09:54,,,2024-05-25 13:10:46,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 13:10:46,0,0,1X2,Unable to place order BNPL,Fintech / Payments,Tibin,Yes,,Solved,self_serve,2024-05-26 23:49:16,Solved,Solved,34.65611111111111
IN24052518422529848385,ACC9F143BC95C994357A22126B2587BBCB2G,ieddn.t232656,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Internal Updates,2024-05-25 18:42:25,,,2024-05-25 18:42:58,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 18:42:58,0,0,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.918696,2024-05-26 11:40:01,Solved,Solved,16.96
IN24051207055780219723,ACC13823751863218249,techmch.2286401,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-12 07:05:57,,,2024-05-12 07:06:02,,,,,,,cx,Email,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,,0,2024-05-26 10:00:00,2024-05-12 07:06:02,14,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Customer Updates,fapl.2249138,2024-05-28 09:44:54,Open,ReOpenByL2,388.7966951169444
IN24040701134152951640,ACC13808707780288214,techmkflex22.2111824,,,Flipkart Pay Later,Flipkart Pay Later BBPS ,Issues related to Utility Bills,Flipkart Pay Later->Flipkart Pay Later BBPS ->Issues related to Utility Bills,Waiting for Internal Updates,2024-04-07 01:13:41,2024-04-07 01:13:44,2024-04-07 01:13:44,2024-04-07 01:14:38,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-04-07 01:14:38,49,>5,5X5,Re-Con issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.984547,2024-05-27 12:41:58,Open,ReOpenByL2,1234.6519728947221
IN24050511430044624375,ACC267C3525DA154659BFA72E5CE52D80D8A,ieddn.t232152,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-05 11:43:00,2024-05-05 11:43:04,2024-05-05 11:43:04,2024-05-05 12:03:04,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,4.0,4,2024-05-26 10:00:00,2024-05-05 12:03:04,20,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.918694,2024-05-27 15:49:54,Open,ReOpenByL2,551.8447506725
IN24052313551516666443,ACC1F2098B9E0B54C408486D050C02E5BB5R,ieddn.t245732,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-23 13:55:15,,,2024-05-23 13:56:56,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-23 13:56:56,2,2,1X2,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-28 10:52:44,Open,ReOpen,117.97502845027778
IN24052316125918486729,ACC8547DEA1F1E9428AA9E56486A500AC1B5,starkluc.c20225547,OD431306464556419300,4.313064645564193e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-23 16:12:59,,,2024-05-23 16:13:00,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-23 16:13:00,2,2,1X2,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fk_crm_matrix,2024-05-24 00:19:37,Open,ReOpen,115.67947289472222
IN24052511553270307547,ACC14101804109907536,techmch.2295187,,,Flipkart Pay Later,General Enquiry,Account closure request,Flipkart Pay Later->General Enquiry->Account closure request,Waiting for Customer Updates,2024-05-25 11:55:32,,,2024-05-25 11:55:59,,,,,,,cx,,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,1.0,1,2024-05-26 10:00:00,2024-05-25 11:55:59,0,0,1X2,Account Closure Issues,Fintech / Payments,Tibin,Yes,,Solved,fapl.930942,2024-05-26 10:48:25,Solved,Solved,22.88138888888889
IN24042912054720227983,ACCA459488416D24C9BA64F623167B53B22V,techmkflex23.2241260,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-04-29 12:05:47,2024-04-29 12:05:51,2024-05-04 19:49:49,2024-05-09 22:41:38,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,5.0,>5,2024-05-26 10:00:00,2024-05-09 22:41:38,16,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.855675,2024-05-28 09:22:08,Open,ReOpenByL2,445.2019728947222
IN24050719485210032241,ACCF24AC2FD16E34F98B572F367D52373021,techmkflex24.2284753,OD431192644323281300,4.311926443232813e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-07 19:48:52,2024-05-09 23:30:05,2024-05-18 21:00:12,2024-05-07 19:48:53,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,7.0,>5,2024-05-26 10:00:00,2024-05-07 19:48:53,18,>5,5X5,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.858165,2024-05-23 16:21:51,Open,ReOpenByL2,496.08141733916665
IN24050815474836334910,ACC70FF96673CCD42E7BD3BFCE4DA16AB66P,techmk.2191068,,,Flipkart Pay Later,Payment Issues,Flipkart Pay Later - Refund not adjusted to bill,Flipkart Pay Later->Payment Issues->Flipkart Pay Later - Refund not adjusted to bill,Waiting for Internal Updates,2024-05-08 15:47:48,2024-05-08 17:05:16,2024-05-08 17:05:16,2024-05-18 13:31:04,,,,,,,cx,Outbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,2.0,2,2024-05-26 10:00:00,2024-05-18 13:31:04,7,>5,5X5,Paylater / Billing issuse,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.864609,2024-05-27 17:12:46,Open,ReOpenByL2,238.37808400583333
IN24051823375519864544,ACC9163D535AE1643EC9272D2B9EA10F453E,starkol.80539154,,,Flipkart Pay Later,Flipkart Pay Later BBPS ,Issues related to Utility Bills,Flipkart Pay Later->Flipkart Pay Later BBPS ->Issues related to Utility Bills,Waiting for Internal Updates,2024-05-18 23:37:55,,,2024-05-18 23:39:39,,,,,,,cx,Inbound,Fintech_Queue,no,,1CR,Others,Non VIP,,Incident,3.0,3,2024-05-26 10:00:00,2024-05-18 23:39:39,7,>5,5X5,Re-Con issues,Fintech / Payments,Tibin,Yes,,Waiting for Internal Updates,fapl.2257115,2024-05-28 09:46:41,Open,ReOpenByL2,228.2639176175
IN24052421013361439791,ACCB58F37D8975F4EC1AF43C9175B688070,ieddn.t232150,OD331312503672501300,3.313125036725013e+17,Mobile Recharge & Bill Payments,Mobile Recharge & Bill Payment Queries,Mobile Recharge Escalation Issue,Mobile Recharge & Bill Payments->Mobile Recharge & Bill Payment Queries->Mobile Recharge Escalation Issue,Waiting for Internal Updates,2024-05-24 21:01:33,,,2024-05-24 21:01:35,,,,,,,cx,,Fintech_Queue,,,1CR,Others,Non VIP,,Incident,4.0,4,2024-05-26 10:00:00,2024-05-24 21:01:35,1,1,Others,Recharge Related Issues,Fintech / Payments,Tibin,Yes,,Solved,fk_crm_matrix,2024-05-27 20:30:15,Solved,Solved,71.47833333333334
